ID,Контакт: ID,Дата создания,month,Воронка,funnel_group,Стадия сделки,Сделка закрыта,Дата оплаты,Сумма,revenue_amount,is_revenue_variant3,UTM Source,UTM Medium,UTM Campaign,UTM Content,Название сделки,Код_курса_сайт,Код курса,course_code_norm,event_class,classification_source,classification_pattern,classification_confidence,is_attacking_january
80383,121117,25.10.2024 11:52:40,2024-10,Реактивация,Реактивация,Некачественный лид,да,,0.00000000,0,0,yandex,cpc,b802,undefined,Blue team Stepik,Код курса: B-802,,B-802,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
82681,122001,19.12.2024 13:48:04,2024-12,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,b2c,undefined,Ванюлин Евгений Владимирович B-301,Код курса: B-301,,B-301,Другое,,,low,0
86591,104371,28.02.2025 19:07:58,2025-02,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,r420,undefined,Заявка с сайта cyber-ed Главная страница,main_page,,MAIN_PAGE,Другое,,,low,0
86619,82369,01.03.2025 13:25:18,2025-03,Реактивация,Реактивация,В2С отказ,нет,,,0,0,yandex,cpc,b802,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
87023,123081,06.03.2025 21:47:55,2025-03,B2C,B2C,Сделка не заключена,да,,66600.00000000,0,0,yandex,cpc,s1,undefined,R-301,Код мероприятия: v-1,,V_1,Другое,,,low,0
87221,75973,08.03.2025 17:25:58,2025-03,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,s1,undefined,Заявка с сайта cyber-ed МЕРОПРИЯТИЯ,Код мероприятия: v-1,,V_1,Другое,,,low,0
87603,20613,11.03.2025 14:46:10,2025-03,B2C,B2C,Сделка не заключена,да,,78000.00000000,0,0,yandex,cpc,s1,undefined,S-410,Код мероприятия: v-1,,V_1,Другое,,,low,0
87885,83527,13.03.2025 17:46:16,2025-03,B2C,B2C,Сделка не заключена,да,,0.00000000,0,0,yandex,cpc,s1,undefined,Заявка с сайта cyber-ed МЕРОПРИЯТИЯ,Код мероприятия: v-1,,V_1,Другое,,,low,0
88437,84017,20.03.2025 19:09:37,2025-03,Реактивация,Реактивация,В2С отказ,нет,,,0,0,youtube,undefined,honeymontana,undefined,Заявка с сайта cyber-ed МЕРОПРИЯТИЯ,Код мероприятия: v-2,,V_2,Другое,,,low,0
88477,58101,20.03.2025 20:56:44,2025-03,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,v2,undefined,Заявка с сайта cyber-ed МЕРОПРИЯТИЯ,Код мероприятия: v-2,,V_2,Другое,,,low,0
88735,84239,24.03.2025 02:00:46,2025-03,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,v2,undefined,"Хамдам_В-207, В-208, В-236",Код мероприятия: v-2,,V_2,Другое,,,low,0
88747,84251,24.03.2025 11:44:15,2025-03,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,v2,undefined,R-301_18.12.2025,Код мероприятия: v-2,,V_2,Другое,,,low,0
88899,84379,25.03.2025 14:48:18,2025-03,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,v2,undefined,Заявка с сайта cyber-ed МЕРОПРИЯТИЯ,Код мероприятия: v-2,,V_2,Другое,,,low,0
90831,86013,19.04.2025 06:39:06,2025-04,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,b802,undefined,Консультация,Код курса: B-101,,B-101,Другое,,,low,0
92307,60133,05.05.2025 23:47:40,2025-05,Реактивация,Реактивация,Некачественный лид,да,,,0,0,yandex,cpc,b802,undefined,Blue team Stepik,Код курса: B-101,,B-101,Blue Team Stepik,Название сделки,\bblue team stepik\b,high,0
92347,87405,06.05.2025 12:50:54,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,br3d,undefined,Заявка с сайта cyber-ed B2C,Код курса: S-232,,S-232,Другое,,,low,0
92503,87553,07.05.2025 10:58:33,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Москва.desktop.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
92689,87751,11.05.2025 19:24:51,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Санкт-Петербург.mobile.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
92705,87767,11.05.2025 21:32:18,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Москва.mobile.none.16975561359,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
92713,87775,11.05.2025 23:58:38,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Москва.desktop.none.16975561347,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
92721,87783,12.05.2025 01:04:52,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,s-410,undefined,Заявка с сайта cyber-ed B2C,Код курса: S-410,,S-410,Другое,,,low,0
92767,87815,12.05.2025 13:24:24,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,br3d,undefined,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
92853,87875,13.05.2025 05:29:37,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,b301,CyberED_SOC_set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561364,Заявка с сайта cyber-ed B2C,Код курса: B-301,,B-301,Другое,,,low,0
92881,87897,13.05.2025 16:16:45,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561350,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
92913,87929,13.05.2025 23:28:02,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561347,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
92927,87939,14.05.2025 06:18:06,2025-05,Реактивация,Реактивация,В2С отказ,да,,,0,0,yandex_cpc,r301,CyberED_PENTEST__set,Санкт-Петербург.mobile.none.16975561347,Заявка с сайта cyber-ed B2C,Код курса: R-301,,R-301,Другое,,,low,0
93181,88127,14.05.2025 23:07:34,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex_cpc,b301,CyberED_SOC_set,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561372,Заявка с сайта cyber-ed B2C,Код курса: B-301,,B-301,Другое,,,low,0
93209,88155,15.05.2025 10:32:17,2025-05,B2C,B2C,Сделка не заключена,да,,,0,0,yandex,cpc,s-410,undefined,Заявка с сайта cyber-ed B2C,Код курса: S-410,,S-410,Другое,,,low,0
