UTM Source,UTM Medium,UTM Campaign,UTM Content,UTM Term
anons,%7Bsource_type%7D,%7Bcampaign_id%7D,%7Bad_id%7D,%7Bkeyword%7D
apentester181225,01,%7Bcampaign_id%7D_%7Bgbid%7D,%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0.mobile.none.16975561366,%D0%BF%D0%B5%D0%BD%D1%82%D0%B5%D1%81%D1%82
b2c_courses_analytic_soc_demo_261125_01,11_08,01,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561347,---autotargeting
banner,13_08,01-09,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561350,---autotargeting_116.ru
blog,anons,13-10,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561359,---autotargeting_24calc.ru
Botto Platform,anons-07-10,14-10,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561364,---autotargeting_24smi.org
brand_250226_01,anons1-19-09,1909,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561372,---autotargeting_3dnews.ru
brand_250226_02,anons2,22-08,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16975561380,---autotargeting_akniga.org
chatgpt.com,anons3,26-08,%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3.mobile.none.16996792083,---autotargeting_alushta.gorodrabot.ru
Community,apentester181225,27_01,01,---autotargeting_androidapplications.store
copilot.com,article,28-08,10-12,---autotargeting_androidinsider.ru
cpc,b-236,2kursa,147298491,---autotargeting_api.edadeal.ru
cybered,b2c_courses_analytic_soc_demo_261125_01,355448126,147298566,---autotargeting_apkpure.net
demo_pentest_181225,b301,703431330,17300481749,---autotargeting_astrorok.ru
demo_soc_181225,base_all,703438383,17300481754,---autotargeting_auth.wi-fi.ru
dzen,brand_250226_01,703438392,17300481759,---autotargeting_auto.ru
e-mail,brand_250226_02,703907462,17300483605,---autotargeting_checko.ru
email,bsoc_article,704698005,17300483606,---autotargeting_chuvashia.move.ru
emailproteccionmail,bsoc_article#form_block_id,704873517,17300483609,---autotargeting_clickie.ru
gosuslugi,calendar_sep,705047521_5679155116,17300483610,---autotargeting_com.anoshenko.android.solitaires
hacker,ciso,705047736_5679156266,17300483615,---autotargeting_com.app.champion.pro
hacker_blog,context,705110422_5680047768,17300483621,---autotargeting_com.avito.android
hacker_tab,cpa,705378235,17300484855,---autotargeting_com.camscanner.documentscanner.pdfscanner.textscanner.photos.scanner
ig,cpc,705378235_5684909126,17336666020,---autotargeting_com.cleverapps.wondermerge
kiberbez_130226_1,cyber_ins,705378915,17336666034,---autotargeting_com.dbgarden.gardening
KursHub,demo_pentest_181225,705378915_5684922023,17336666038,---autotargeting_com.ddup.zombiewaves.zw.ru
madtest,demo_soc_181225,705393235,17366120407,---autotargeting_com.edadeal.android
mail,description,705393236,17395032202,---autotargeting_com.example.slim_pro
mitup,digital_academy,705525479,17395047936,---autotargeting_com.freefastconnect.vpn
