contact_id,deals_total,paid_deals,revenue,avg_check
120597,5,2,319963.2,159981.6
114609,15,4,204440.0,51110.0
124857,10,2,179845.0,89922.5
122035,2,1,153900.0,153900.0
54153,38,6,149420.0,24903.333333333332
120943,12,3,145350.0,48450.0
76115,3,1,142680.0,142680.0
9585,12,2,139860.0,69930.0
93233,5,1,138000.0,138000.0
13135,8,1,138000.0,138000.0
8217,10,1,136072.0,136072.0
116471,4,2,135365.0,67682.5
115255,5,1,132480.0,132480.0
120337,21,4,132447.6,33111.9
5803,5,1,127429.2,127429.2
122703,1,1,127429.0,127429.0
120391,4,1,124200.0,124200.0
118133,2,1,124200.0,124200.0
74163,8,1,122467.2,122467.2
52799,17,3,122000.0,40666.666666666664
121117,4,1,118900.0,118900.0
28175,7,1,98449.2,98449.2
111997,8,1,98196.0,98196.0
1017,9,2,96824.0,48412.0
65187,13,2,94180.0,47090.0
4701,16,2,93177.0,46588.5
120553,4,1,91800.0,91800.0
43531,6,1,90720.0,90720.0
126005,26,3,90022.0,30007.333333333332
16497,8,1,88784.0,88784.0
6197,5,1,87360.0,87360.0
83011,3,1,85000.0,85000.0
77563,7,1,83900.0,83900.0
117403,4,1,83900.0,83900.0
55569,17,3,81257.5,27085.833333333332
24237,17,1,78624.0,78624.0
85485,20,1,76960.0,76960.0
6801,9,1,75510.0,75510.0
56861,18,3,75287.6,25095.86666666667
45657,19,1,74000.0,74000.0
120771,5,1,74000.0,74000.0
76459,13,3,69096.0,23032.0
122261,2,1,62900.0,62900.0
2867,15,2,61440.0,30720.0
122321,2,1,60010.0,60010.0
75537,6,2,59364.0,29682.0
23781,13,1,59200.0,59200.0
101765,5,1,56300.0,56300.0
50067,4,1,54535.0,54535.0
6913,13,2,50320.0,25160.0
60629,19,3,42045.0,14015.0
55099,11,1,41400.0,41400.0
25237,15,2,41160.0,20580.0
1463,10,1,41160.0,41160.0
61299,5,1,38880.0,38880.0
120293,6,1,38577.0,38577.0
122009,7,1,38475.0,38475.0
103529,6,1,35949.0,35949.0
112123,8,1,35658.0,35658.0
117729,8,1,35190.0,35190.0
78989,5,1,35070.0,35070.0
54721,12,1,35070.0,35070.0
59309,7,2,33696.0,16848.0
24857,13,1,33696.0,33696.0
122001,7,1,33696.0,33696.0
59527,8,2,32800.0,16400.0
49233,4,1,32400.0,32400.0
86077,13,1,32200.0,32200.0
81653,5,1,30060.0,30060.0
123081,12,1,29634.0,29634.0
19561,8,1,29160.0,29160.0
54959,10,1,29080.0,29080.0
120933,6,1,26172.0,26172.0
93,10,1,25920.0,25920.0
