event_class,course_code_norm,deals,paid_deals,revenue
Другое,Другое,614,58,2897171.9
Другое,ATTACKINGJANUARY,1142,8,729202.4
Другое,B-410,31,12,537320.0
Другое,R-301-M0A,61,7,247600.3
Другое,R-301-A,14,3,222867.0
Другое,R-420,5,3,203424.0
Другое,R-301,17,4,185000.0
Другое,R-430,12,4,181440.0
Другое,F-401,9,4,166884.0
Другое,S-410,12,6,160272.4
Другое,R-319,6,2,122480.0
Blue Team Stepik,R-101,1,1,122467.2
Другое,S_1,29,3,102177.3
Другое,B-228,12,4,87024.0
Другое,R-801,293,4,70984.0
Другое,B-301,7,2,68820.0
Другое,I-108-1,3,1,68040.0
Другое,ХАКЕР,1,1,66600.0
Другое,R-316,3,1,56300.0
Другое,B-101,5,1,53600.0
Другое,B-301-M0A,10,2,47949.0
Другое,B-207,4,1,39102.0
Другое,B-236,6,2,35280.0
Другое,R-218,1,1,32200.0
Другое,F-111,5,1,29080.0
Другое,ПРОГРАММАПРОФЕССИОНАЛЬНОЙПЕРЕПОДГОТОВКИДЛЯНАЧИНАЮЩИХСПЕЦИАЛИСТОВB_410,2,1,25920.0
Другое,S-232,7,1,23400.0
Опен дэй,Другое,105,1,20975.0
Другое,I-107,2,1,16500.0
Другое,F-110,4,1,14400.0
Другое,W-4,5,1,10000.0
Другое,UNDEFINED,4,1,7000.0
Другое,W-1,2,1,7000.0
Blue Team Stepik,B-101,195,0,0.0
Blue Team Stepik,B-802,86,0,0.0
Демо Блю,B-301-M0A,8,0,0.0
Демо Ред,R-301-M0A,24,0,0.0
Другое,ADA,2,0,0.0
Другое,B-208,1,0,0.0
Другое,B-802,1,0,0.0
Другое,F-107,1,0,0.0
Другое,F-108,1,0,0.0
Другое,F-109,1,0,0.0
Другое,FORM_INACTIVE,1,0,0.0
Другое,HR_CONSULT,2,0,0.0
Другое,I-106,49,0,0.0
Другое,I-107-1,1,0,0.0
Другое,INFOSEC_START,24,0,0.0
Другое,M-365,40,0,0.0
Другое,MAIN_PAGE,6,0,0.0
Другое,PHD21,3,0,0.0
Другое,R-101,10,0,0.0
Другое,R-102-A,1,0,0.0
Другое,R-215,3,0,0.0
Другое,R-220,1,0,0.0
Другое,R-302-A,22,0,0.0
Другое,R-317,1,0,0.0
Другое,R-319-A,3,0,0.0
Другое,R-319-KD,1,0,0.0
Другое,RE101_A,9,0,0.0
Другое,S-235,1,0,0.0
Другое,SEA,1,0,0.0
Другое,THANKS_PAGE,2,1,0.0
Другое,TIA,2,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_NEW,1,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_NEW_UTM_CAMPAIGN_TRACK_PENTESTER_151025_UTM_MEDIUM_EMAIL_UTM_SOURCE_SENDSAY,1,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_TRACK,1,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_TRACK_UTM_SOURCE_HACKER_BLOG_UTM_MEDIUM_HACKER_UTM_CAMPAIGN_HACKER_CERTIFICATION_ERID_2SDNJC2NRPB,10,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_TRACK_UTM_SOURCE_HACKER_BLOG_UTM_MEDIUM_HACKER_UTM_CAMPAIGN_HACKER_CERTIFICATION_ERID_2SDNJCW2W7Q,3,0,0.0
Другое,V_1,20,0,0.0
Другое,V_2,15,0,0.0
Другое,V_6,31,0,0.0
Другое,W-112,7,0,0.0
Другое,W-113,2,0,0.0
Другое,W-114,26,0,0.0
Другое,В-301-А,1,0,0.0
Другое,МАРАФОНПРОФЕССИЙ,119,0,0.0
ПБХ,ATTACKINGJANUARY,1,0,0.0
ПБХ,F-402,1,0,0.0
ПБХ,R-101,131,0,0.0
ПБХ,Другое,167,0,0.0
Тренд репорты,R-301-M0A,1,0,0.0
