event_class,course_code_norm,deals,paid_deals,revenue
Другое,Другое,13727,725,28685811.47
Другое,R-430,425,121,4736848.0
Другое,B-410,277,64,2941770.0
Другое,F-401,257,66,2803513.84
Другое,S-410,417,68,2144294.2
Другое,R-301,711,46,1964932.35
Другое,R-301-A,145,16,1622597.0
Другое,R-420,138,31,1547733.5
Другое,R-801,25760,49,1465930.4
Другое,B-236,139,38,1157499.6
Другое,B-228,205,43,1087066.0
Другое,MAIN_PAGE,340,24,999286.0
Другое,ATTACKINGJANUARY,1154,10,883102.4
Другое,R-319,79,22,815956.0
Другое,МАРАФОНПРОФЕССИЙ,644,6,670374.35
Другое,I-106,716,23,663728.0
Другое,S-123,58,12,628764.0
Другое,R-101,160,12,589030.0
Другое,R-215,49,16,582984.0
Другое,S-232,105,24,572440.0
Другое,S_1,228,11,501999.6
Другое,S-235,71,13,473950.0
Другое,R-317,37,7,459064.0
Другое,В-301-А,24,4,420863.0
Другое,F-111,54,22,402307.0
Другое,UNDEFINED,58,5,400680.0
Другое,R-218,40,9,393568.0
Другое,B-301,518,16,384105.4
Другое,FORM_INACTIVE,252,6,384048.0
Другое,R-220,52,6,353736.0
Другое,BR3D,25,8,303628.0
Другое,I-107,33,21,259500.0
Другое,F-110,35,9,230400.0
Другое,W-4,37,23,221000.0
Другое,TIA,20,3,186060.0
Другое,B-301-M0A,144,5,183405.68
Другое,FUNCTIONTRIM_NATIVECODE,27,7,177240.0
Другое,R-301-M0A,637,6,176000.3
Другое,W-2,36,25,175000.0
Другое,F-108,18,5,160995.0
Другое,B-101,29,2,152800.0
Другое,I-108,13,10,150000.0
Другое,S-224,50,5,147900.0
Другое,B-207,37,4,146466.0
Другое,V_2,186,4,127842.0
Другое,W-3,59,11,125000.0
Blue Team Stepik,R-101,1,1,122467.2
Другое,B-208,45,7,121236.0
Другое,F-109,46,6,105884.0
Другое,I-107-1,24,9,105000.0
Другое,R-319-KD,6,3,101088.0
Blue Team Stepik,R-801,25,2,82320.0
Другое,ПРОГРАММАПРОФЕССИОНАЛЬНОЙПЕРЕПОДГОТОВКИДЛЯНАЧИНАЮЩИХСПЕЦИАЛИСТОВB_410,3,3,77760.0
Другое,R-319-A,23,1,75432.0
Blue Team Stepik,Другое,2,1,66600.0
Другое,ХАКЕР,1,1,66600.0
Другое,W-1,24,9,63000.0
Другое,R-316,34,4,60192.0
Другое,B-802,19,3,59106.0
Другое,F-410,1,1,54600.0
Другое,S-235-A,7,1,49900.0
Другое,R-301-GM3,4,1,44800.0
Другое,R-301-3,2,1,41400.0
Другое,V_6,136,1,39100.0
Другое,W-112,61,4,30000.0
Другое,W-114,122,1,28786.0
Опен дэй,Другое,421,1,20975.0
Другое,W-113,6,3,20970.0
Другое,M-365,283,1,12333.5
Другое,HR_CONSULT,12,1,7000.0
Другое,F-107,8,1,4900.0
Blue Team Stepik,B-101,8698,1,0.0
Blue Team Stepik,B-802,1093,0,0.0
Встреча с экспертом,Другое,1,0,0.0
Демо Блю,B-301-M0A,335,0,0.0
Демо Ред,R-301-M0A,541,0,0.0
Другое,ABOUT_PAGE,9,0,0.0
Другое,ADA,2,0,0.0
Другое,BS0C,4,0,0.0
Другое,F-401-А,9,0,0.0
Другое,F-402,1,1,0.0
Другое,I-108-1,6,0,0.0
Другое,I-108-2,4,0,0.0
Другое,INFOSEC_START,227,0,0.0
Другое,PHD21,278,0,0.0
Другое,R-102-A,14,0,0.0
Другое,R-302-A,105,0,0.0
Другое,R-501,1,0,0.0
Другое,RE101_A,39,0,0.0
Другое,R_801НАНОВОМБЕСПЛАТНОМОНЛАЙН_КУРСЕ_ПРОФЕССИЯБЕЛЫЙХАКЕР,2,0,0.0
Другое,S41,1,0,0.0
Другое,SEA,1,0,0.0
Другое,TEACHERS,4,0,0.0
Другое,THANKS_PAGE,64,1,0.0
Другое,THREATINTELLIGENCE,1,1,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_NEW,6,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_NEW_UTM_CAMPAIGN_TRACK_PENTESTER_151025_UTM_MEDIUM_EMAIL_UTM_SOURCE_SENDSAY,7,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_TRACK,9,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_TRACK_UTM_SOURCE_HACKER_BLOG_UTM_MEDIUM_HACKER_UTM_CAMPAIGN_HACKER_CERTIFICATION_ERID_2SDNJC2NRPB,86,0,0.0
Другое,TILDA_HTTPS_CYBER_ED_RU_PENTESTER_TRACK_UTM_SOURCE_HACKER_BLOG_UTM_MEDIUM_HACKER_UTM_CAMPAIGN_HACKER_CERTIFICATION_ERID_2SDNJCW2W7Q,17,0,0.0
Другое,V_1,226,0,0.0
Другое,V_10,4,0,0.0
Другое,WORKSHOP_OFFZONE_2023,75,0,0.0
Другое,W_OF24,1,0,0.0
Другое,ZIM_OWN,4909,0,0.0
Другое,АЭС_402,1,0,0.0
Другое,В-207,3,0,0.0
Другое,ПЕНТЕСТЕР,2,0,0.0
Другое,ПРОГРАММАПРОФЕССИОНАЛЬНОЙПЕРЕПОДГОТОВКИДЛЯНАЧИНАЮЩИХСПЕЦИАЛИСТОВR_430,2,0,0.0
ПБХ,ATTACKINGJANUARY,1,0,0.0
ПБХ,B-301,1,0,0.0
ПБХ,F-402,1,0,0.0
