funnel,stage,deals,paid_deals,revenue
B2C,Сделка заключена,45,45,4782267.91
B2B,Сделка заключена,24,24,3567490.0
B2C,Рассрочка,5,5,230701.0
B2B,Выбор 03,4,0,0.0
B2B,Постоплата,1,0,0.0
B2B,Потенциал 01,31,0,0.0
B2B,Сделка не заключена,13,0,0.0
B2B,Согласование КП,10,0,0.0
B2B,Согласование договора,11,0,0.0
B2B,Счет выставлен,7,0,0.0
B2C,Взято в работу,14,0,0.0
B2C,Выбор 03,6,0,0.0
B2C,Готов к покупке,2,0,0.0
B2C,Новая заявка,10,0,0.0
B2C,Потенциал 01,566,0,0.0
B2C,Сделка не заключена,185,2,0.0
Горячая воронка,Взято в работу,2,0,0.0
Горячая воронка,Качественная сделка,5,0,0.0
Горячая воронка,Некачественная сделка,277,1,0.0
Горячая воронка,Нет ответа,23,0,0.0
Горячая воронка,Перезвонить позже,8,0,0.0
Другое,КП на согласовании,3,0,0.0
Другое,Подготовить КП,1,0,0.0
Другое,Разработать предложение,2,0,0.0
Другое,Согласование договора,1,0,0.0
Карьерная консультация,Новая,3,0,0.0
Карьерная консультация,Сделка успешна,2,0,0.0
Реактивация,Blue team Stepik,44,0,0.0
Реактивация,"В проработке, нет ответа",1,0,0.0
Реактивация,В2С отказ,142,0,0.0
Реактивация,Вебинары,233,0,0.0
Реактивация,Возобновить В2С,8,0,0.0
Реактивация,Входящие лиды (нет ответа),760,0,0.0
Реактивация,Некачественный лид,89,0,0.0
Реактивация,Тесты\квизы,188,0,0.0
Холодная воронка,Бесплатники,187,0,0.0
Холодная воронка,Вебинары,181,0,0.0
Холодная воронка,Взято в работу,9,0,0.0
Холодная воронка,Качественный лид,24,0,0.0
Холодная воронка,Лидмагниты,6,0,0.0
Холодная воронка,Некачественный лид,1110,1,0.0
Холодная воронка,Нет ответа,331,0,0.0
Холодная воронка,Перезвонить,9,0,0.0
