month,utm_source,utm_medium,deals,paid_deals,revenue
2026-02,,,639,27,3482491.32
2026-02,social,tg,45,1,143900.0
2026-02,tg,social,7,1,143900.0
2026-02,xaker,tg,15,1,143900.0
2026-02,Securitylab.ru,,16,1,136072.32
2026-02,sl,tg,65,2,127602.03
2026-02,site,social,56,1,118900.0
2026-02,yd,context,112,1,75510.0
2026-02,refferal,digital_academy,4,1,4900.0
2026-02,SMS,SMS,5,0,0.0
2026-02,Sendsay,email,154,0,0.0
2026-02,banner,website,7,0,0.0
2026-02,blog,tg,1,0,0.0
2026-02,brand_250226_01,brand_250226_01,1,0,0.0
2026-02,brand_250226_02,brand_250226_02,1,0,0.0
2026-02,cybered,tg,71,0,0.0
2026-02,email,email,11,0,0.0
2026-02,email,social,1,0,0.0
2026-02,gosuslugi,social,3,0,0.0
2026-02,hacker,email,51,0,0.0
2026-02,hacker_blog,hacker,1,0,0.0
2026-02,hacker_tab,hacker,6,0,0.0
2026-02,kiberbez_130226_1,kiberbez_130226_1,1,0,0.0
2026-02,partner,tg,1,0,0.0
2026-02,pentest_demo2_120226_1,pentest_demo2_120226_1,1,0,0.0
2026-02,pentest_pentest_pay_120226_1,pentest_pentest_pay_120226_1,1,0,0.0
2026-02,pentest_soc2_120226_1,pentest_soc2_120226_1,1,0,0.0
2026-02,pohek,tg,23,0,0.0
2026-02,prof_pentest_demo2_100226_1,prof_pentest_demo2_100226_1,1,0,0.0
2026-02,prof_pentest_demo2_100226_2,prof_pentest_demo2_100226_2,1,0,0.0
2026-02,prof_pentest_demo2_100226_3,prof_pentest_demo2_100226_3,1,0,0.0
2026-02,prof_pentest_demo_1002226_2,prof_pentest_demo_1002226_2,1,0,0.0
2026-02,prof_pentest_demo_250226_01,prof_pentest_demo_250226_01,1,0,0.0
2026-02,prof_pentest_demo_250226_02,prof_pentest_demo_250226_02,1,0,0.0
2026-02,prof_soc_demo_1002226,prof_soc_demo_1002226,1,0,0.0
2026-02,professiya_pentester_270226_01,professiya_pentester_270226_01,1,0,0.0
2026-02,refferal,ciso,1,0,0.0
2026-02,rof_pentest_demo_240226_01,rof_pentest_demo_240226_01,1,0,0.0
2026-02,seo,bsoc_article,21,0,0.0
2026-02,seo,pentester_article,2,0,0.0
2026-02,soc_pay_120226_1,soc_pay_120226_1,1,0,0.0
2026-02,start_120226_2,start_120226_2,1,0,0.0
2026-02,start_blue_team_270226_01,start_blue_team_270226_01,1,0,0.0
2026-02,tsuniversity,,2,0,0.0
2026-02,tutuortop,refferal,3,0,0.0
2026-02,website,,1,0,0.0
2026-02,yah,tg,10,0,0.0
2026-02,yd,kiberbez_context,14,0,0.0
2026-02,yd,search,2,0,0.0
2026-02,yd,yanvar_context,1,0,0.0
2026-02,yd_prof_pentest_demo,context,25,0,0.0
2026-02,yd_prof_pentest_demo2,context,45,0,0.0
2026-02,yd_prof_soc_demo2,context,18,0,0.0
2026-03,,,1114,30,3072757.24
2026-03,Sendsay,email,397,4,402920.0
2026-03,banner_header,website,27,2,273410.0
2026-03,tg,social,54,2,266491.0
2026-03,hacker_tab,hacker,6,1,136705.0
2026-03,yd,context,352,2,51000.0
2026-03,Securitylab.ru,,38,0,0.0
2026-03,YouTube_propentest,social,33,0,0.0
2026-03,blog,banner,1,0,0.0
2026-03,chatgpt.com,,1,0,0.0
2026-03,cybered,tg,1,0,0.0
2026-03,email,email,1,0,0.0
2026-03,email,stepic,31,0,0.0
2026-03,email,stepik,184,0,0.0
2026-03,gosuslugi,social,3,0,0.0
2026-03,hacker_blog,hacker,1,0,0.0
2026-03,madtest,description,12,0,0.0
2026-03,mail,stepik,183,0,0.0
2026-03,nto,tg,7,0,0.0
2026-03,pohek,tg,1,0,0.0
2026-03,pornhub,,1,0,0.0
2026-03,rbc-courses,cpa,2,0,0.0
2026-03,refferal,digital_academy,2,0,0.0
2026-03,securitylab.ru,,1,0,0.0
2026-03,sendsay,email,119,0,0.0
2026-03,seo,bsoc_article,23,0,0.0
2026-03,sms,sms,1,0,0.0
2026-03,social,anons1-19-09,2,0,0.0
2026-03,social,tg_cyber-ed,1,0,0.0
2026-03,telegram,social,78,0,0.0
2026-03,test_040326_1_how_to_find_a_job_for_a_beginner,test_040326_1_how_to_find_a_job_for_a_beginner,1,0,0.0
2026-03,test_110326_01,test_110326_01,1,0,0.0
2026-03,tg,,11,0,0.0
2026-03,tutuortop,refferal,2,0,0.0
2026-03,vk,social,2,1,0.0
2026-03,yd,%7Bsource_type%7D,1,0,0.0
2026-03,yd,kiberbez_context,34,0,0.0
2026-03,yd_prof_pentest_demo2,context,16,0,0.0
2026-04,,,317,0,0.0
2026-04,Securitylab.ru,,1,0,0.0
2026-04,Sendsay,email,11,0,0.0
2026-04,banner_header,website,2,0,0.0
2026-04,email,stepik,1,0,0.0
2026-04,gosuslugi,social,1,0,0.0
2026-04,hacker_tab,hacker,1,0,0.0
2026-04,mail,stepik,2,0,0.0
2026-04,sendsay,email,7,0,0.0
2026-04,telegram,social,5,0,0.0
2026-04,tg,social,2,0,0.0
2026-04,vk,social,2,0,0.0
2026-04,yd,context,28,0,0.0
2026-04,youtube,video,1,0,0.0
