project_name,campaign_id,month,yandex_rows
vea_cybered_statya_RSYA-040326_rm040326-RF_retarget,707793990.0,2026-03,38
vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,707977649.0,2026-03,31
vea-professiya-pentester_RSYA-270226_1_rm221125_City_ml,707634725.0,2026-03,18
vea-professiya-pentester_RSYA-270226_1_rm221125-RF-PAY-CONV-200,707811553.0,2026-03,16
vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,707811673.0,2026-03,15
vea-professiya-pentester_RSYA-270226_1_rm221125-RF,707634735.0,2026-03,14
vea_b2c_prof_pentest_demo2_RSYA_100226_rm261125-RF_LEAD_TILDA,707144191.0,2026-03,13
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-City_ml,707634746.0,2026-03,9
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-RF,707634756.0,2026-03,9
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-RF-PAY-CONV-200,707811554.0,2026-03,9
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-RF-SR-PAY-CONV-200,707811674.0,2026-03,9
vea_brand_POISK-130226_rm271125-RF,707265139.0,2026-03,7
vea_b2c_start_RSYA_120226_rm120226-RF_City_ml,707219401.0,2026-03,2
