День,№ Кампании,Название кампании,Статус кампании,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,№ Группы,Название группы,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽"
Итого,,,,,,,,,,,,,,,,,,220486.47,938343,20483,3496,17.07,63.07
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647835054,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4566389/rTjitfZEzP7zmocYnwOEqA,b (2),-,-,Текстово-графический,Оригинальный,5729694288,lead_sumbitt_ form,543.20,763,18,2,11.11,271.60
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647838980,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4756895/965d0I_OPtNjFD-3WB8N5g,b (4).jpg,-,-,Текстово-графический,Оригинальный,5729695275,lal_lead_submitt_form,15.38,370,2,0,0.00,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267817,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4883704/AP2TBy3sKo3tQrHmawiCjQ,b (1),-,-,Текстово-графический,Оригинальный,5729340977,baza_pay_demo_all,0.00,54,0,0,-,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267815,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/5221943/mUPD3DBPHPeLrm2WhqGz9A,b (3),-,-,Текстово-графический,Оригинальный,5729340977,baza_pay_demo_all,0.00,12,0,0,-,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647837641,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4566389/rTjitfZEzP7zmocYnwOEqA,b (2),-,-,Текстово-графический,Оригинальный,5729695027,lal_1_baza_uch_reg,0.00,8,0,0,-,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267809,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4883704/AP2TBy3sKo3tQrHmawiCjQ,b (1),-,-,Текстово-графический,Оригинальный,5729340975,cybered_int,9.86,70,13,2,15.38,4.93
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267811,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/5221943/mUPD3DBPHPeLrm2WhqGz9A,b (3),-,-,Текстово-графический,Оригинальный,5729340976,pbh_blue_all,9.05,159,1,0,0.00,-
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267807,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/5221943/mUPD3DBPHPeLrm2WhqGz9A,b (3),-,-,Текстово-графический,Оригинальный,5729340975,cybered_int,13.73,162,5,1,20.00,13.73
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17647838983,Активные,Текстово-графическое,Начни разумно свой путь в ИБ,"Не трать месяцы и деньги на неверный путь, сначала разберись в рынке и в себе",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4883704/AP2TBy3sKo3tQrHmawiCjQ,b (1),-,-,Текстово-графический,Оригинальный,5729695275,lal_lead_submitt_form,18.83,47,3,0,0.00,-
